job_id,company_name,title,normalized_title,category,description,requirement_summary,work_type,employment_type,experience_level,province,city,salary_min,salary_max,salary_currency,salary_display,skills_top_10_names,requirements_concat,language_signal,source_posted_at,status,fit_input_quality_score,fit_input_has_requirements,fit_input_has_skills,skills_count_total,description_length_chars,req_len,_is_tech_cat,_is_tech_title,_is_tech_skills,is_tech,tech_signal_source
ffe6f09e-d6d8-49c4-ae79-54773ae5254b,Agung Sejahtera Sidoraharjatex,STAFF IT SUPORT,STAFF IT SUPORT,Information Technology & Communication,"Why You Should Choose This Position With Us? 1. Impactful Role, Supportive & Growing Work Environment, Diverse Tasks.",Why You Should Choose This Position With Us? 1.,ONSITE,FULL_TIME,ENTRY_LEVEL,Jawa Tengah,Karanganyar,,,IDR,Not specified,Effective Communication,"Why You Should Choose This Position With Us? 1 || Impactful Role, Supportive & Growing Work Environment, Diverse Tasks",EN,2026-05-12T02:25:47Z,ACTIVE,100,1,1,1,128,54,False,False,False,False,none
ffd4a44d-c117-40b6-b5a9-3ed0dd1be75d,Pengiklan Anonim,SENIOR ADMIN MANUFACTURING ASSEMBLY LINE,Senior Admin Manufacturing Assembly Line,Asisten Administratif,Qualifications: Minimum D3 / S1 from reputable University with Mechanical / Electrical / IT or Accounting or others Engineering education...,Minimum D3 / S1 from reputable University with Mechanical / Electrical / IT or Accounting or others Engineering education.,ONSITE,FULL_TIME,SENIOR,Jakarta Raya,Jakarta Barat,,,IDR,Not specified,Financial Analysis,Minimum D3 / S1 from reputable University with Mechanical / Electrical / IT or Accounting or others Engineering education,EN,2026-04-26T09:32:38Z,ACTIVE,100,1,1,1,147,129,False,False,False,False,none
ffa20cd2-9491-4037-af96-5c6aaa69a49e,Aminda (Makassar),Brand & Marketing Strategist,Brand & Marketing Strategist,Pemasaran & Komunikasi,"The Brand & Marketing Strategist role at Aminda (Makassar) in Makassar, Sulawesi Selatan focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Mari bergabung and bertumbuh bersama Aminda!.",Mari bergabung and bertumbuh bersama Aminda!.,ONSITE,FULL_TIME,ENTRY_LEVEL,Sulawesi Selatan,Makassar,3800000.0,5000000.0,IDR,"IDR 3,800,000 - 5,000,000 / month",Digital Marketing,Mari bergabung and bertumbuh bersama Aminda!,EN,2026-05-11T15:03:59Z,ACTIVE,100,1,1,1,255,52,False,False,False,False,none
febdc21c-8ca9-4749-99f1-961b9136bdfc,Daidan Aditama Yaksa,"Corporate Planning, Investor Relation & ERM Assistant Manager","Corporate Planning, Investor Relation & ERM Assistant Manager","Pertambangan, Sumber Daya Alam & Energi","The Corporate Planning, Investor Relation & ERM Assistant Manager role at Daidan Aditama Yaksa in Jakarta Pusat, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Assistant Manager role in Corporate Planning, Investor Relation & ERM.","Assistant Manager role in Corporate Planning, Investor Relation & ERM.",ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Pusat,,,IDR,Not specified,Effective Communication,"Assistant Manager role in Corporate Planning, Investor Relation & ERM",UNKNOWN,2026-04-30T10:10:27Z,ACTIVE,100,1,1,1,332,81,False,False,False,False,none
feb89fc9-21c3-4348-893c-ef03e07bfaa2,PT Baliola Adi Maha Duta,Sales,Sales,Sales Representative,"The Sales role at PT Baliola Adi Maha Duta in Klojen, Jawa Timur, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: minimum 1 years of experience Maximum 3 years of experience",minimum 1 years of experience Maximum 3 years of experience,ONSITE,FULL_TIME,JUNIOR,Jawa Timur,Klojen,2440200.0,3660300.0,IDR,"IDR 2,440,200 - 3,660,300 / month",B2B Sales | Sales | Sales Strategy | Marketing | Communication Skills | B2C Sales | Customer Service,minimum 1 years of experience || Maximum 3 years of experience,EN,2026-04-20T07:14:14.531000Z,ACTIVE,100,1,1,7,252,85,False,False,False,False,none
fe9f9d84-bf6a-4392-a107-468ce2cf45d5,PT. INDOSARANA JAYA PERKASA,Supervisor HSE,HSE Supervisor,"Manufaktur, Transportasi & Logistik",Strategic role in the implementation and development of the company's OHS system. Professional work environment with management support. Career and HSE competency development opportunities.,HSE Supervisor is responsible for overseeing and ensuring the implementation of OHS and environmental work systems in accordance with applicable standards and regulations.,ONSITE,FULL_TIME,ENTRY_LEVEL,Jawa Barat,Bekasi,,,IDR,Not specified,OHS | Environmental Systems | Supervision | HSE | Regulations,HSE Supervisor is responsible for overseeing and ensuring the implementation of OHS and environmental work systems in accordance with applicable standards and regulations,EN,2026-05-05T02:27:15Z,ACTIVE,100,1,1,5,196,178,False,False,False,False,none
fe7e24b3-cce9-4eb8-9eb8-b8c91755ca29,OTTO Digital,Compliance Manager,Compliance Manager,Perbankan & Layanan Finansial,"The Compliance Manager role at OTTO Digital in Jakarta Selatan, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Proficient in EXPIRES_SOON, Akan segera berakhir.","Proficient in EXPIRES_SOON, Akan segera berakhir.",ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Selatan,,,IDR,Not specified,EXPIRES_SOON | Akan segera berakhir,Ensure operations align with BI/OJK rules || manage regulatory reporting || and review internal policies to mitigate compliance risks,UNKNOWN,2026-04-20T09:20:10Z,ACTIVE,100,1,1,2,254,56,False,False,False,False,none
fe7381a4-e91f-444c-b525-6f58f6d83e23,Pengiklan Anonim,Business Analyst,Business Analyst,Konsultasi & Strategi,"The Business Analyst role at Pengiklan Anonim in Jakarta Barat, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Has core competencies relevant to the Business Analyst role.",Has core competencies relevant to the Business Analyst role.,ONSITE,FULL_TIME,ENTRY_LEVEL,Jakarta Raya,Jakarta Barat,,,IDR,Not specified,Effective Communication,Has core competencies relevant to the Business Analyst role.,UNKNOWN,2026-05-15T17:18:12Z,ACTIVE,100,1,1,1,265,67,False,False,False,False,none
fe3c9e5f-a994-4fd5-b5fc-aef4cef08973,Jago Coffee,Crew Kopi Keliling (Jagoan) - Area Bekasi,Mobile Coffee Crew (Jagoan) - Bekasi Area,Ritel & Produk Konsumen,"The Crew Kopi Keliling (Jagoan) - Area Bekasi role at Jago Coffee in Bekasi, Jawa Barat, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Attractive income, Time flexibility, Growth opportunities.","Attractive income, Time flexibility, Growth opportunities.",ONSITE,FULL_TIME,ENTRY_LEVEL,Jawa Barat,Bekasi,,,IDR,Not specified,Effective Communication,"Attractive income, Time flexibility, Growth opportunities",UNKNOWN,2026-05-14T03:04:53Z,ACTIVE,100,1,1,1,274,65,False,False,False,False,none
fdc9358b-af2b-47d4-beed-139990369d80,Djabesmen,Finance Accounting & Tax Division Head,"Head of Finance, Accounting, and Tax",Finance & Accounting,"The Finance Accounting & Tax Division Head role at Djabesmen in Jakarta Pusat, Jakarta Raya, Indonesia focuses on core contributions based on available operational evidence. Ideal candidates are expected to meet: Finance Accounting & Tax Division Head.",Finance Accounting & Tax Division Head.,ONSITE,FULL_TIME,LEAD,Jakarta Raya,Jakarta Pusat,,,IDR,Not specified,Financial Analysis,Finance Accounting & Tax Division Head,UNKNOWN,2026-05-08T09:56:03Z,ACTIVE,100,1,1,1,267,50,False,False,False,False,none
